aluno,nota1,nota2,nota3
Jsplarpiugkbiiaauabftwjdnmwjrjectamt,5.2,5.9,5.7
Wcnzlvjzev,7.3,8.2,0.6
Fghixfabskwaptneuvrjyizywtjduhpwjfqsdgcqjbk,1.3,1.2,8.9
Pggizxmprzolgxj,6.7,5.7,1.5
Dvdnvhbmayjahbae,4.2,7.1,7.7
Kbvugbaxfwgrlgzzragvsfrstzjwvwlxj,8.7,6.9,1.3
Ivvqdx,3.0,5.6,5.0
Xaopdteawtdwkwogzlakqvdurvkhixnewesiis,3.3,5.7,0.6
Lrmhoalminrbasf,4.2,0.4,1.5
Tyvpfqyrailomwfmximhgktqyayicdjuad,4.6,7.8,9.7
Lpdblfyxqwhhihjrmyoej,7.9,7.8,6.6
Glaujrecszqkpasdhadbrfjxvagspvcrlpnksjbi,9.1,8.0,7.2
Fheenlpxuiezmcevyhyeawgbsbfbcnhvbfvehzalgnuvaoonwx,3.0,3.1,0.7
Csqwnhygxibgwwgavrtg,3.1,4.7,8.7
Plzlpk,3.3,0.6,3.7
Zwsidndrytgnvoyjmfpkeuoe,1.3,3.8,1.7
Useinsxswivtlxcwsfo,1.4,5.4,7.8
Enlwfrowtncpzyyaqmaffucwcoegyotaqudmo,1.1,7.2,7.2
Tqglf,8.1,5.8,8.0
Cqlyenkorehqusfdlicdagqoqnwawelwfajwmjaifyk,6.6,1.5,7.5
Pooqfishzkcxnnztmxzampojvthwzxdrxd,9.3,3.8,7.1
Xgmyqctpsabdxe,5.0,4.1,2.7
Sazycrvtzhiqvmlxmhtbhvycxkfarppfvcv,9.2,5.3,8.7
Ygvhgmhcrwnglpqxtugzjt,6.4,4.2,9.6
Elwwrnvmftmpnbkomgrtdfvfuwxqb,7.9,6.3,6.6
Woysjkuyuercldqqqehqdmpxwopspwcgwpu,0.3,0.3,8.7
Mnptwhliapmgksvhhqqgqewffowyvphojkrhrtdqazpbxv,7.3,6.1,7.2
Fvjaegrlqlitskcygus,7.4,3.8,2.9
Afmvqcguwormejbrumrlnqqfbofirailifqwarmhozlnhgzk,7.7,6.0,8.1
Pskcruwkjdjofznhmqzirkcouvjqvmljxdyuuforkcho,0.6,3.1,0.3
Xyazxuqoebokphgsuqokc,9.8,9.3,4.9
Zlzphyohnrzeiyfl,2.1,1.0,7.5
Hppsjlxbfkrfydzwmbwuonsovsrsrbwhndqvrd,8.1,7.2,2.9
Xpbf,5.7,4.4,0.6
Lcjewimhguiiozxcurbdvytvnm,0.3,2.1,3.4
Kapjorz,5.1,0.3,0.2
Izwgyxlkghuh,2.8,7.0,3.2
Clhhimkiaggnzgth,7.8,0.6,9.7
Cbsrgcsqcdhclgtgbhmvfxzaatrxnet,2.6,7.5,6.9
Ninrisxertxyqbpoxezhcfycklgdeknzcrojte,1.2,6.3,3.6
Gjrhfwrahgtf,8.2,6.4,2.9
Verscxopnocaerxhrdmoebracqnzhpyanzz,6.8,2.3,8.5
Znqkypkhynzdwqytzanadeoylygspvryfndezun,5.1,3.8,2.9
Wvgqrkuesqvcyxfnvodpsebmtwnaurgxrskrdiarsxesmjaghs,1.9,2.0,2.9
Zrrazaelxwg,5.8,6.2,3.1
Pemgpigczhtcwojvxcofbvikdmdpfjircolpbqqkvcamgl,0.7,8.9,5.8
Tzuxesskjedbyrnkwnihkjiqfrmrqucjqbsbijiyjfo,1.7,1.1,5.3
Uvfwfqr,8.1,0.7,0.6
Zgjyznfe,3.3,2.3,8.0
Wlapvnkqkfufzejcthansaecggda,5.2,0.3,4.0
Ncdpdsvlbuispwfratazkftbfqhtvysyiobibcsgfcbp,1.0,6.9,2.3
Srzhxdsfcqcdjxistauibvxqouohnommomolxrrbdzvwvn,6.8,7.2,1.8
Sclpqlctlhgbxfcmqwqcwtktrshkkglhyjzezzooqjgyev,2.7,3.0,7.8
Dlvqojtzyowqadoipwoabwukwpnfjxmzwjymetc,0.0,3.2,3.8
Gesplqpxkueuhgqlfelkgylkwbijpqxqpadw,1.8,9.5,4.9
Rdyhdgmajxlkyjiatmqdknmtevjohch,8.1,5.3,4.1
Whaxzmnpgciuhbyqfp,8.6,7.9,2.3
Rlqwrlworjyizks,2.3,0.2,6.7
Xwibmcaofwnpcvdvlrgnvkybfbnbips,5.8,6.6,5.0
Udsfxwyrkfwhujdusreqkjkxnafiejblwkpmzkincbnyuimzt,9.7,9.8,6.9
Vsukpbplmoyyyujejrphw,8.4,3.0,3.9
Kanfczgxleeuyioid,2.2,8.4,4.1
Okwademvlyfujsjkmzlpoxcrktyceaimzbetlalin,5.1,0.6,9.1
Nbtzcrptjpvgofwv,8.6,5.5,5.2
Nayjhxgpdrgfjzgaz,4.1,3.1,7.9
Fcaojmgvnkujywdszebzssivaxgxzqisfhsehaiodfnzpcbh,0.2,9.2,9.6
Jjrmkwvasweplsarkdibvvzdzrvrng,0.3,8.2,5.6
Opijlpcofgq,5.9,0.4,0.8
Mvpray,2.1,6.5,7.8
Ovuakmywdgebvxozgnjvpsrszkxllfqiuzbzpgtyma,10.0,7.7,2.5
Ojcxyrxknodtssbgwiifoadctaqmlaebq,6.6,2.4,3.7
Hbvzrekvuspjjmyvfhktqhtfzrmhomcecsxxqvebvbzkcetujyo,8.4,0.2,8.4
Djqvygomueumtuwwi,9.6,8.5,9.1
Srgc,8.2,3.9,9.3
Yzoomsqryxfngpcfpofzmpdnjfzrerwtlk,5.5,6.1,5.8
Uhavqxfxxdgnwekvorckxf,0.2,8.3,0.4
Obpytug,9.5,3.8,6.1
Pjvij,4.3,8.1,1.1
Jpgmbufxhrxzxcydvjschqqdsoskwflwzy,3.6,4.5,0.8
Zwakgvkrwrycjwhcermrbmbrejgnmlcryxtiuaafvozlg,0.4,4.0,3.5
Zmwmnoibpadinftycqwzxeydxinaarbrtbeltii,7.0,5.5,4.9
Tzsliaraa,8.9,8.5,7.0
Tdcbtjcpmwmtpudqbs,5.7,6.9,2.1
Pcoxqrvcddevdtdnpylzomigxtbbmdgolwbijythnagtkjcalsu,2.8,2.8,8.5
Fzkpoxykboisjmudlfnlenlgpzjwogdmnzsxfzbgtbekf,5.6,6.3,5.9
Gmyfqivrntznbgb,0.9,7.0,1.5
Rmnzmngdwvjcobpkllw,1.3,1.7,7.3
Hsibtixlpztuerkxbwojzed,7.3,3.0,1.4
Fxgwmjwpucmobpf,8.1,6.8,3.0
Ikkvzpxlkkrfgozpezex,5.3,2.6,5.6
Qlqmdifyyyhgkqlphmftaf,4.0,5.1,7.2
Lybddblzuvmtgidkuvbgldm,4.4,8.4,7.7
Jitsewutfnctwvbtmlodxxnzw,6.2,6.0,9.4
Uobksyagxsowfujvuqwhdynyjrflbzhodhx,4.9,3.6,4.7
Gzebnbdahmmxftjhutsqxjezzcoloyurryuc,0.1,5.5,3.6
Yrcgae,5.7,8.0,2.7
Bquosuesihc,0.2,5.4,1.1
Ivoinobkdkbzzmtrwdlvibxjfaspqolntlpklj,7.2,5.6,7.8
Sewzkushvqebrdntbtqus,7.9,3.2,9.7
Oeyoclmajadvznevjgwuqujeyojcozvuigtlnyrxuuzj,0.6,6.8,0.6
Fjswnzilrfibdtbzxoaftlogpytlxiwkqankzczlvl,7.3,4.2,8.2
Tuesuzvtjqlgxkqfkgtkq,4.3,7.7,1.6
Ynrvntmumma,9.6,1.4,7.2
Hwgmdpuscmpvkgxbdjw,1.4,3.7,4.8
Jozdjmdssqsljf,4.6,0.2,0.9
Yxoxrldqssxiopohozjhsnpfcbdb,7.6,5.4,3.6
Ecmjsepnhfiijylikius,9.7,8.9,5.3
Kwwijpmukgvnscg,7.6,3.9,7.9
Ctufcubmzunxwqkxanfcvsjtgt,4.0,1.0,6.1
Efvyeapmelizfvpgwbvhjshtkdcqmgedtpgarvltrqddmieoh,2.8,9.6,8.5
Jlmptyctlydumz,4.2,6.2,0.2
Vabdiqpylczmzrplleboopqpd,2.3,1.6,2.3
Mcebltvwwmvbjpuysldqdsluyojrxpkvg,1.0,0.0,9.2
Izxinnydgjlcqedvgmgid,2.5,6.1,2.2
Lfotlwrkqiwb,2.3,4.5,0.4
Wyqrmhb,8.4,9.8,6.4
Ivzoypfyuwtvtpmgiyrhfkconxgbowmzqmeqektsgawooarfkri,3.5,6.0,5.7
Ydiqrjipcnrnakufivaylvdssqrhbxrqdczfmtrxgdfcqni,6.3,6.5,8.2
Enjk,6.0,9.7,0.4
Okoconwcxoitljgcpltjxtbhdvbi,3.9,3.5,8.3
Tuiowdzhaebqimsaydvywrtbcfmzrpmdmtkffmqzq,6.1,4.7,0.2
Ghhnalpdvefrnqywnepvgmklkhdk,5.7,9.2,5.9
Qsxtgmyltgdazrfpeuomlrtaedopbenvrjpcbqfnpywvllpe,0.4,9.6,7.1
Ktogoftrixgzasckbwgwsfebpodksqdfoo,3.8,4.5,4.5
Quhcucjfximognwdqooymqrhupbgmcujgzmrp,8.1,9.7,9.1
Jwzesb,0.4,1.5,4.3
Vpajzpulrlwiwd,5.3,8.6,0.5
Kjaumdcppwibubztipbmoeqqnuhnkuakeddguzkhmukiesxan,8.8,5.6,8.1
Keuhkhcrokdeukkrebyfxqawcerzsgrznifjqz,4.1,4.4,8.0
Yraxudjptywpjjhyk,4.7,3.0,3.7
Ujnuhgajechnegswwldxqwjdjpeh,1.2,7.9,2.9
Irgyaviupthbessvdaqoxzfstgtcrkwsjlwwggnsfugkobwlap,7.5,7.4,3.7
Zazqng,7.6,7.7,1.1
Igfijaivrurmgkvpohljh,5.0,9.4,6.9
Jifjlqwcasf,4.0,1.4,3.2
Vfgpodaxjjkwbqrrtlhzlqyiltjylhaocucvxvh,4.4,5.8,3.6
Ezqnzyuxhnrzhxduerdgdlemfyp,0.2,0.3,8.9
Hsnaigtfhoxhcheangcuyplkkuaguskzoogvwco,9.0,9.9,4.2
Ykzljdvgqdimfp,4.3,5.2,7.3
Tgjjjfpzmnovqgbjpfevbcxffvapjgqmlk,4.3,9.1,5.4
Rqjrhnbxcgbznzpjlmhlnlhaxhmdmvokpxsiojsvwvljdgg,2.6,9.1,5.8
Wqlcvafabbowwzfgvyuwmwbqdcs,4.7,3.4,4.2
Pxdlspzznkukitayxjmorlbueeitrnhjohpilkpf,7.6,10.0,1.6
Uupngwzrojlcgggzwigwddrmsmgcrmvlzyvrfyugokcdrpu,7.5,5.8,7.2
Ahsjkxuntiqqflyatdarkvwkmq,6.4,8.1,2.3
Xqbttmmvfgbptbkgftbhyxc,2.8,3.9,3.1
Xuamdvszlgrhbq,6.5,7.7,6.1
Andfjfaxtkqtaltozgtzxaqvlpfnxarfdiyzlram,8.4,0.8,9.3
Yjjewhildcuqmddpchatwwwrmt,2.0,0.3,3.6
Sxecrrlwkyntm,8.9,7.6,5.1
Zkwftoulmqklhgen,3.6,8.4,1.4
Obmxnetwkkizlople,1.0,4.8,2.8
Wxatxwgdzqjlcasuwscpcwgmslav,7.1,8.6,5.1
Bqfwbkvdhi,3.5,0.1,6.9
Ibdoagvkycct,1.4,9.4,8.2
Twojjpbsphrfiwmeyyvluomdzqxxbbqiqpmjnfumnqwzemmxt,1.0,0.7,7.5
Irqaivgmlkabqcatqltpfwsviotonfucgotbns,4.3,2.4,1.8
Nxeagghyndkrmjkxnxxrmymhumddzv,5.8,2.0,3.1
Rwutgwbzliwrsiawstvrmlnjcriocwjsvkfgkd,8.1,6.1,3.3
Cfynnqnmi,2.9,6.8,0.1
Rshkebmdxdnkrhypsjenlcebajsihxdnvtalyhntrv,4.5,6.2,3.0
Tosaebblpxeprwnizxosduuwptmwslfyly,7.7,9.5,6.9
Cwrz,9.7,5.8,5.9
Nyepegtvuwmprlbikmhitmtwdytlzferhiswmizaynccepjact,7.7,5.4,3.6
Kkzxeghgqjpgcvcrsizivtnluhem,5.4,3.5,0.6
Igmdwovbtcaifvlepkhtyhdlwsbbtwjqovzqrjpqikmau,6.2,0.1,0.9
Fyfwewwtjuc,5.6,2.7,7.2
Llmbvmtyfaqqvrwlnhyadrtyruvdqrs,2.7,4.6,4.7
Zkdxfpgnyicmhyaqwgtsutnltzpxybsptnbnufmwrcrpq,8.7,1.3,2.3
Dhrvdnztwfcaqgrkeiactidqqxiybwqjgrrjhvmyzxzqp,2.8,3.3,4.6
Rndyebddltbw,7.0,3.5,5.0
Dtshzksedxdjswzdkjxjawptixalmnvpdrjtnsavwolj,3.9,5.5,8.5
Izflluxxxlnvoscieddxfutfwnjirer,1.4,2.7,1.6
Kycvjffszjnpyzwooukvjaxrguzifaqzbucfxujsltsfclxussw,8.8,2.0,3.3
Thaivekaegzul,4.8,7.5,5.6
Mhaibsedliigplyakiakgttupjthj,6.4,8.8,5.6
Gwonnftccgsetrjwknrfpcfsbwvxkgddckonxclbnq,8.0,5.8,5.0
Xcdpskhxkqxxdrer,4.7,1.1,4.0
Kpuorvosdfoonmgcmynblvy,7.3,6.3,6.6
Gslekflbnkjjpkdelbvzqkhtnkuaokitfgtx,7.5,7.4,6.2
Faseot,7.3,7.3,8.2
Epwtyyuitseigrpurmcmcrkhdkwmuuimt,2.0,1.8,3.9
Xkyd,5.2,1.2,7.0
Pezpmwcwuxbpeitgrwn,9.5,8.7,7.4
Bbjvmbaurprwtxuc,7.9,8.0,5.4
Zlkftywnkw,4.0,5.5,3.8
Dhwyxxeweefvmsutk,9.9,3.5,3.1
Lyak,9.6,6.2,5.3
Ezqabzhtllobuma,0.7,1.1,10.0
Fgmgajccxqmbbqkyhsgmkevdnhazrb,10.0,5.0,6.8
Ejdoqjakfelvrtbtqweodvrqvtpesckjfurglblnscghtwge,0.1,0.6,6.1
Swexjheugntnmzokjdmod,3.1,9.7,2.2
Cqsnuejylcjvbzgrqrupgyirdulertcxeyxqcghvi,9.3,8.6,5.2
Fatumiokejfdvtziplnwwexmnfkfewoplphblds,6.4,5.5,2.5
Duyvdkugpitowbbmworlmfnerbbfilnmvev,6.5,3.1,2.8
Wbmhnwpnrqoxpcmgsoqnwzdwmoqbfujytbaqnaxvskyau,1.7,3.6,9.8
Glmvydjfcniwirozmrtwywppqimniotpxcrogzv,5.3,3.7,6.0
Pnincevhlzdqeyvhxbvrseavwrwvbklvdzjzoebbitmq,4.6,7.0,9.1
Ostrhxdcxdwecu,6.0,1.0,2.2
Jgdzsubuyarrsffbopjhdoctittwwhxrlgkkunoaolutwvrfqf,7.2,2.0,2.3
Ponbwyejnqveghyixzybzhuyulmwzkfungtmfrrd,5.4,5.9,5.4
Nslztuehdzqksxfdykoztlokmodi,7.6,4.8,6.6
Zjkextcalavenyotis,9.6,9.0,7.7
Icnzdlghhnfuqjdngampezdovbvhqohtoglyswggqch,9.9,1.3,1.4
Hwjsbwcutclefoefxdookwozxudtcpng,5.2,6.6,1.5
Lgyjpuhhercoyzlk,6.3,6.8,5.4
Dghojyxstdibcrmma,6.8,4.9,1.6
Xridoguenbrndeyynziuovblbinjjkimzjnho,9.3,1.0,0.5
Brknvvrkufwpsokkdcnoiztph,2.8,7.1,2.0
Vodyslxbolkitxkgxzofrqydmqiqvgdanlzhmrsl,3.7,1.4,1.3
Thrvzougfube,4.0,4.0,1.5
Hduvhmnnztmybvdgtgovjn,0.0,8.0,5.4
Xeqglvnniqlfhlghsrugmvhigs,6.4,6.4,9.5
Efqtxwnwqnvoklrtderfxwjyzgshkvokewjkxppdgkqdcfc,5.6,9.4,1.6
Zaygsuvvtinyesduvktmsngxcuw,0.5,4.7,8.3
Iwkyqivv,5.7,1.2,6.3
Dxwnyw,0.6,7.9,5.0
Ufwmmsgctdvafzvxkqcujuvncakurgorsdjebwqeyrfxr,6.8,8.1,4.9
Exwmggzpcfefudekpwyncykugbgbwaiiiwubhnfnivyrnkjs,0.7,7.5,6.6
Oiireqynopeocyfrsqwaaqhkcyxkux,6.3,0.5,4.5
Xguflkzusnzzktavyqlyoypgpvxnmmwfbnhiqemu,0.8,3.4,6.9
Orxnrrwuhbklfaquxmisp,1.4,5.9,0.9
Pthimzznmvtjlessluhxswvowwvbpujfiawbzrruqkf,3.2,7.4,0.1
Eacmwiupmgabqzlddlauwzjdvyhriwndviykbqpzzmslnwiokit,6.2,1.3,2.2
Wkxyvgcagcumdgpqqtscnrt,3.1,9.9,9.3
Nxkyriequrglswzvv,8.4,7.7,8.9
Grnthvcdejxvepffgwvm,0.2,5.8,2.6
Cuqrnqyakjuyqrlhsybiciw,6.3,8.6,0.6
Mnkzrxwupektjlfaqpndwrqkqvqfmtbilhfdjh,7.8,9.3,1.8
Dejrytupuubmwwwklgiqmstidnrsttbtnajsqtgsbwdmp,6.9,4.8,8.6
Wqfrgexydiwdxaarlpwpwxsy,8.6,4.1,3.8
Gshao,4.8,9.1,8.0
Moygsoexfqrqjrmwape,2.9,8.1,6.3
Tvhsgap,0.4,6.8,8.9
Ehduqfq,8.3,7.2,2.7
Tkvizfu,1.5,8.0,5.8
Axkwfvlnaruwoziqphmmshtsvamzzlds,7.0,8.4,8.5
Mukipcibrrtkzjyeipwqpezultzalheyllnj,7.9,6.3,1.7
Tfanmrmsjlodkdnudulsdpycydiyvepnadrzejgpk,4.3,0.0,1.5
Oibthczqnsyyqcgzklvfhozgfuykncyeeiunlicdtwnuxcjvghi,4.2,7.6,6.6
Npykmexdeklidc,3.3,5.5,3.7
Rqaupxnbokezkxdauwjexltlakyzcbfngvslvztzfkfcuets,7.0,5.1,7.9
Juntiirybicofnjyevt,7.4,6.4,1.3
Kwxjpjokrrqtsgbdaynzuhpnxluohikxbylcixnkbgccets,5.0,3.4,7.4
Wxktusfqfcwkjebzrofmguvzxazqfddybvjlgvrowxl,1.2,0.9,2.4
Bpxitsagnghnqfxkg,8.5,5.9,1.0
Ypotqawgkptdevzeutnt,0.5,5.0,3.6
Mcntsxmxzzfbtlhulirzmeobbtqlw,7.0,9.6,0.7
Ojkxzyecseiprzpzgwcrrgqxupgglhsfkaszcrwuixusmmez,1.6,3.7,5.1
Baawoknobmczf,8.3,1.1,1.1
Wluhqcdwqhtlsqptudpu,6.6,9.2,7.0
Lahpruumgngn,4.7,2.9,0.7
Jppyivbm,3.6,9.4,0.1
Ibvannwvfhlkmjj,0.1,5.2,2.8
Moiumbvwrtccgsldhknvbgjsg,1.7,2.9,0.1
Cybwgyvbmjwsrqgpsfvqaw,2.4,0.9,5.4
Orqvjzmvsukbqdfierwfugelnmlwvrhxoakusmgqpsn,7.4,4.8,3.9
Hpqkqoujyvrutaodkbtibznyriyygyyzoebyxjnpek,1.4,9.3,2.6
Oktfouqtqceyprgxpyriimlj,0.5,6.0,0.2
Gczzgubxonzpkvcgfvhniwcpp,0.1,4.9,7.5
Xyrazzrlwjhoqdjgkmqvlhhotxatmfmdolrxtnsemrmcacmr,4.5,8.5,3.0
Rxbhgkywlxudzutbakjlsigdlvhpyivqydlo,2.4,2.6,1.7
Lcaomvyqyovyyfbdenobxfyzohkqyhlxdjj,3.7,7.7,6.8
Ralzbhhklgzuqehkbgwumckztelpf,3.0,2.3,7.9
Wwcvsddwwiqsbcwggpxsmixzokwmtna,2.1,7.4,9.0
Bhsnnwcymkfemtzsilhizduybfakynbxedbbisd,5.8,3.4,3.9
Xoqqhwlzdvlwiamqd,3.6,4.1,3.3
Klisyueiikdfjhmsipmmrtuxdpvdturkko,2.3,4.8,0.8
Wksgtysfomigffupqgaiqqarvnribhagxgawhfgpdabym,0.9,8.6,0.9
Hferkowjerlcaicxekklfooqxxclmvjbkgtl,7.7,1.3,9.1
Radjonratxjbmfhfyrykfqjmxpwmevievkumcdyvikyorrogvf,8.0,1.4,7.3
Lfdwudsfjmdi,9.2,4.5,3.6
Dhkrkilldohikrdgfrvahqxiszuevsprzmdsljaeyrmkrw,2.2,2.2,7.7
Twfdyjcgxpkalqiufygygmnjhtyng,3.6,2.6,7.9
Jvogkl,4.6,6.9,3.7
Jwuohehlqauozpo,8.4,4.6,7.1
Qedyamovglkjctzlq,6.6,4.3,8.8
Enweawmgbjjwpxfersqsglcdjqdenepjeovkvco,0.1,5.0,7.5
Tjlzdchjijqdcmhdlakfng,7.4,0.9,1.0
Qsxrhpr,4.9,1.0,7.4
Qmsuoykkzntbqhjmpcewtyyceljujbruldwjzhrmiqbh,4.0,7.5,9.5
Ehtbeez,8.7,3.3,7.4
Qkrgfuqvdkdeuhubkqnr,4.1,1.3,4.0
Ysdilcuxuwris,3.4,4.7,5.5
Wxtggqsbyetzcdvqsziuioeszc,3.4,9.9,4.2
Uevfvikgybbwkbhbeulifnqhbualnnwtjlwqfanzkpmeix,9.8,5.8,8.7
Tatyzwgbhrzjfeibmmktkv,7.0,5.3,6.4
Dmkqxjfdiespmfayooswoaxbark,2.8,7.6,4.7
Ujtjfmujiqwqyihohnoghlzvekiwmqgcyzaor,3.5,8.8,5.7
Ohghfzaiznoavbnabsofmfatrjqnhoopky,9.4,5.9,5.1
Xdtqoiudfctbnzlzbjxxcdpyrmgz,7.9,0.1,6.1
Jomoioa,7.0,2.8,9.4
Siuxxpozbmbvoapeunwdcbordhxddcutimwovhksryrfkvraeha,9.9,0.4,0.2
Vqhtlajzyjutzopkdofamhyxufhglxt,6.0,0.2,2.0
Vdqag,9.0,4.9,4.3
Yuzxlyjafvxbvxglydifjeeftrnb,3.6,8.5,5.2
Jihzbljuvbigcwhzpedwzzw,5.1,8.1,9.3
Kpdyihlxfqpxmkjstln,9.7,6.5,3.1
Gptgwsw,2.9,5.6,0.4
Qqywxvitlsgqqrexailpewnwkmxsmkatgtsqdd,6.7,8.1,7.5
Rsvqhczvzzumrvuxjvgbiipaxryplwtueqcqmwcbqtv,1.2,2.4,2.7
Epwykvpk,8.2,2.4,2.6
Zygpposgde,9.7,7.8,3.9
Woggjfzemwwkuzqvobqtju,5.7,7.5,3.7
Wubxuksenogyywfznjvwwfmyey,3.7,0.9,2.7
Mkez,0.9,4.7,3.2
Rojlllgdei,6.1,8.2,2.7
Kftemkit,9.0,7.4,3.3
Gxoigkhdcxi,2.6,6.2,6.2
Vycvbcewoko,0.3,2.3,1.7
Rpcvugggwxcxhmlsmojzhorps,8.1,3.5,5.2
Htnyeqdtqfigjctwei,2.3,0.2,1.8
Xwuavqnnampmpsncexaakmnnozksaarlspohmvgh,5.9,0.5,4.8
Ivsgchajbvklvzsqwcmqgtyrqnxfmppnrg,8.7,0.1,1.8
Ceuwtuhcwgcezgtmjqxsyehffdwtqndqx,3.9,4.3,8.1
Orgwpemsvvlatmpgogbgacxlpj,8.8,7.8,9.6
Iolvrglromtxwvhymafsdpwjh,6.3,8.3,6.7
Njrowrhkigpmmdjheuychmsdlqowelj,9.3,9.3,6.7
Eqmygopusz,6.5,8.5,8.7
Udbylddmgriyycmrqzeuevxtrssjnyxaesdjtimycbgkn,0.1,3.1,6.1
Popmnndwbtakqtxelce,1.1,1.2,0.1
Uzusatsgszivmjmujjepeijixqqxnjpm,5.8,5.1,5.1
Iyobzmwcl,6.9,1.9,3.4
Hukqisaiepqbfhfhynyyfvoprmfvdswvrycxmwuyjhdh,3.6,1.0,0.9
Lgypqhzixhwkercnnpymiislbhnifsgbillurgyjmmc,9.3,3.9,6.7
Znbwzhmefrjfhaiwvlzktnleeuaofwbdfepb,0.1,3.3,9.4
Nvyathpdmqaurskrx,9.0,8.0,9.4
Bxxjzktz,2.1,1.5,7.8
Mixc,8.0,7.4,7.1
Uuhtdbzjhr,4.0,3.7,1.9
Daqfphazelebwmarkcjbsdgv,2.5,10.0,5.6
Tgxajbdmkayjwaxzysnsedxwxqcclylfeurcvr,0.1,4.2,0.0
Yrqkpkucp,0.9,8.9,8.2
Bpewgscpvqibktufojqsbzwydkehgedxvlzmjrpvgpw,1.0,2.6,0.8
Vjcm,4.6,4.2,3.9
Hfvtcdmtephh,7.3,0.5,1.3
Yousellqphkgibytbmnfkbn,6.3,6.9,5.5
Qqeejgecskfkfkdgfe,4.1,2.2,10.0
Ybygqrzxiocxiwfwrjpmabadmilleukrgszkkoootkfahhlujbe,0.6,1.9,5.1
Kupphrdjuusxwmxaatklkqodwutrrsfowpmtqgjbflnmdxq,9.7,5.9,5.3
Mahjnfuxrogpgwirtabwxfvqgsojeeg,3.2,2.0,5.6
Vajcmyjoagwqjvnkldyub,4.8,7.0,8.1
Rqkhmilvlpwgdlksuyqqzsvxpsocjtcuoaggnt,0.6,6.3,0.6
Lhnezpkbnikmef,3.2,3.9,5.8
Jqmlvycdiagqhborpyiwgkubtormyzsiqngtfkfkqwa,9.7,7.9,5.7
Nzmsekh,2.4,5.1,3.5
Ipwmmpvqmfhaofjfaphesmgrgjsumsldfd,8.0,1.7,6.8
Nqeheidondhrtogcyqdjjnnygaxpsoxopwbvljlmaesrvw,3.9,4.8,1.2
Gqeodqbklnjyyett,4.3,8.6,5.8
Nwwpasngbrenewzlyhnhdljyadiegzqgwndcwgnwlrqz,6.5,1.2,0.9
Fprysqvwgcpoqjcrsgeboynmcpywuqnnoizrzptljnyg,0.6,4.1,7.4
Mzjskdgeu,3.4,3.0,8.9
Sblgjfpwoiugdwmigksasroycnoafsevvwteylvvrnej,0.1,3.3,8.1
Napqtzftsvelserqgonnkrtfrmf,2.3,2.0,6.2
Szfzulhqerhxrhwqjgiijqeredstb,5.9,5.4,3.6
Mgsqjeytztwaankinohzusibmjotnigndfvc,4.7,9.8,1.3
